state,country,date,cases,deaths
Orenburg Oblast,Russia,2021-01-30,33922,473
Penza Oblast,Russia,2021-01-30,32488,381
Perm Krai,Russia,2021-01-30,39515,1434
Primorsky Krai,Russia,2021-01-30,36127,520
Pskov Oblast,Russia,2021-01-30,29178,131
Rostov Oblast,Russia,2021-01-30,63321,2616
Ryazan Oblast,Russia,2021-01-30,21792,227
Saint Petersburg,Russia,2021-01-30,331956,9686
Sakha (Yakutiya) Republic,Russia,2021-01-30,30490,487
Sakhalin Oblast,Russia,2021-01-30,19596,25
Samara Oblast,Russia,2021-01-30,39991,812
Saratov Oblast,Russia,2021-01-30,42951,537
Smolensk Oblast,Russia,2021-01-30,22180,453
Stavropol Krai,Russia,2021-01-30,42255,923
Sverdlovsk Oblast,Russia,2021-01-30,70120,2020
Tambov Oblast,Russia,2021-01-30,22398,268
Tatarstan Republic,Russia,2021-01-30,15959,282
Tomsk Oblast,Russia,2021-01-30,28143,263
Tula Oblast,Russia,2021-01-30,28754,999
Tver Oblast,Russia,2021-01-30,28873,516
Tyumen Oblast,Russia,2021-01-30,28088,246
Tyva Republic,Russia,2021-01-30,15389,187
Udmurt Republic,Russia,2021-01-30,25415,498
Ulyanovsk Oblast,Russia,2021-01-30,43597,603
Vladimir Oblast,Russia,2021-01-30,23341,676
Volgograd Oblast,Russia,2021-01-30,43111,603
Vologda Oblast,Russia,2021-01-30,32550,606
Voronezh Oblast,Russia,2021-01-30,57844,1566
Yamalo-Nenets Autonomous Okrug,Russia,2021-01-30,35552,377
Yaroslavl Oblast,Russia,2021-01-30,27937,314
Zabaykalsky Krai,Russia,2021-01-30,34015,466
not provided,Rwanda,2021-01-30,15118,193
not provided,Saint Kitts and Nevis,2021-01-30,37,0
not provided,Saint Lucia,2021-01-30,1195,13
not provided,Saint Vincent and the Grenadines,2021-01-30,896,2
not provided,Samoa,2021-01-30,2,0
not provided,San Marino,2021-01-30,2996,65
not provided,Sao Tome and Principe,2021-01-30,1256,17
not provided,Saudi Arabia,2021-01-30,367813,6372
not provided,Senegal,2021-01-30,26213,621
not provided,Serbia,2021-01-30,393897,4000
not provided,Seychelles,2021-01-30,1186,4
not provided,Sierra Leone,2021-01-30,3528,79
not provided,Singapore,2021-01-30,59507,29
not provided,Slovakia,2021-01-30,248190,4565
not provided,Slovenia,2021-01-30,165887,3490
not provided,Solomon Islands,2021-01-30,17,0
not provided,Somalia,2021-01-30,4784,130
not provided,South Africa,2021-01-30,1449236,43951
not provided,South Sudan,2021-01-30,3929,64
Andalusia,Spain,2021-01-30,391102,6260
Aragon,Spain,2021-01-30,96962,2918
Asturias,Spain,2021-01-30,35966,1505
Baleares,Spain,2021-01-30,51575,577
C. Valenciana,Spain,2021-01-30,298389,4633
Canarias,Spain,2021-01-30,35014,524
